,Ally Auto Receivables Trust 2017-1,Ally Auto Receivables Trust 2017-2,AmeriCredit Automobile Receivables Trust 2017-1,AmeriCredit Automobile Receivables Trust 2017-2,California Republic Auto Receivables Trust 2017-1,CarMax Auto Owner Trust 2017-1,CarMax Auto Owner Trust 2017-2,Ford Credit Auto Owner Trust 2017-A,Honda Auto Receivables 2017-1 Owner Trust,Hyundai Auto Receivables Trust 2017-A,Nissan Auto Receivables 2017-A Owner Trust,Santander Drive Auto Receivables Trust 2017-1,Toyota Auto Receivables 2017-A Owner Trust,Toyota Auto Receivables 2017-B Owner Trust,World Omni Auto Receivables Trust 2017-A
Count,69007.0,67771.0,50671.0,69973.0,20737.0,82256.0,67623.0,66537.0,79235.0,71274.0,50499.0,66797.0,93151.0,106118.0,64939.0
OpenBal,1116603712.29,1042504334.8799998,1026613920.0100001,1153933742.49,421053018.86,1332921348.9,1250442260.9699998,1718023629.8000002,1312415683.1599998,1307048149.4499998,1132706600.7900002,1232577047.9299998,1651896387.5000002,1933385658.5900002,1164071539.27
StartMonth,2017-01-01 00:00:00,2017-02-01 00:00:00,2016-12-01 00:00:00,2017-03-01 00:00:00,2017-02-01 00:00:00,2016-12-01 00:00:00,2017-03-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-02-01 00:00:00,2017-02-01 00:00:00,2017-01-01 00:00:00,2017-01-01 00:00:00,2017-03-01 00:00:00,2017-02-01 00:00:00
EndMonth,2017-03-01 00:00:00,2017-03-01 00:00:00,2017-03-01 00:00:00,2017-03-01 00:00:00,2017-03-01 00:00:00,2017-03-01 00:00:00,2017-03-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-03-01 00:00:00,2017-03-01 00:00:00,2017-03-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-02-01 00:00:00
MissingMonths,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Walk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IncrBal,103,36,613,0,49,336,0,30,9,37,9,218,37,0,0
Pmts,62382,41446,0,0,0,0,0,203,0,0,0,0,1,0,0
Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extra,2725.0,0.0,7.0,0.0,312.0,15.0,0.0,0.0,0.0,710.0,1.0,6.0,0.0,0.0,0.0
COExtra,4.0,0.0,10.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0
Dupes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NegOpenBal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NegCloseBal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RateNeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RatePos,0,0,0,0,0,0,0,6,20,0,98,0,0,0,0
Integer,0,0,0,0,0,48361,9598,0,0,0,0,0,0,0,0
NegCO,1,0,215,113,0,0,0,0,0,0,0,0,0,0,0
PartialCO,20,1,339,113,1,1,0,199,0,35,3,2,0,0,0
GreaterCO,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NegRepo,0,1,327,156,0,0,0,0,0,0,0,0,0,0,0
NegRecov,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
actualInterestCollectedAmount,13670166.290000034,8636258.380000096,43232502.639999874,13686167.29999993,4921875.090000015,31904586.95,8332758.099999987,7356886.790000001,4928027.419999998,7065809.159999993,3773544.9999999898,42058775.360000014,8813888.929999959,3480005.809999988,4129792.939999991
actualPrincipalCollectedAmount,113126214.50999947,62077329.76000011,67671468.69000006,14553256.450000118,23020305.550000012,133434947.64999995,20304910.880000018,113913106.43000023,77679891.7699993,82714797.8099996,55508731.299999684,56501997.46999988,154348036.45999968,49444385.85999994,19478881.609999895
chargedoffPrincipalAmount,144982.47999999998,639.71,1055466.35,-85961.73999999999,1.0,494318.06999999995,0.0,34857.77000000001,0.0,192080.15000000002,223924.18999999997,658879.98,14106.34,0.0,0.0
otherPrincipalAdjustmentAmount,-5186706.000000033,-3348918.970000033,-167975.55999999997,-70227.43000000001,0.0,1450810.8000000003,137332.18999999994,-19524.049999999996,-1045.73,-52391.44,-2411.42,541897.9500000002,-92712.47000000002,-67817.81999999999,-234918963.42999923
recoveredAmount,75.0,10025.18,11517.470000000001,0.0,0.0,297845.04000000004,0.0,0.0,0.0,70003.62000000001,0.0,230220.56,-20000.0,0.0,0.0
reportingPeriodActualEndBalanceAmount,3126093438.430001,2000155266.9399886,3956563506.6499944,1420145820.1200128,807514708.7599986,5019618274.260012,1230000017.8999887,3259268323.3300004,2516788119.320015,2494253415.880018,2189044557.4599915,3601477672.3700266,3108120976.2500105,1884009090.5499918,1379511621.0900087
reportingPeriodBeginningLoanBalanceAmount,3239601030.869993,2062356630.399984,4025122466.129998,1153933742.4900095,830535015.3099952,5154998350.780036,1250442260.9700263,3373196368.5300045,2594466965.360036,2577107902.4000025,2244774801.5299907,3659180447.7700377,3262401669.1900234,1933385658.5899856,1164071539.2700107
repossessedProceedsAmount,264334.45999999996,-300.0,439722.36999999994,-71552.41,0.0,405061.22,0.0,32463.69,0.0,0.0,0.0,236674.91,0.0,0.0,0.0
